signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,net_gain_lo,net_gain_hi,loss_increasing_shift_count
Z1,none,30,0.06666666666666667,0.005431156974154359,0.0,0.005431156974154359,-0.0054339270686402045,0.021727397991103282,1
Z1,shuffle_probe,30,0.03333333333333333,-0.0030639546772948025,0.0,-0.0030639546772948025,-0.009191864031884408,0.0,1
Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,0.0,0.0,0
Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,0.0,0.0,0
Z2,none,30,0.03333333333333333,0.007242465997034427,0.007262962962962962,-2.049696592853565e-05,-0.008090787037037037,0.01528012947258476,0
Z2,shuffle_probe,30,0.03333333333333333,-0.0030639546772948025,0.008290740740740741,-0.011354695418035542,-0.01789991958743996,-0.007596157407407407,1
Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,-0.022195203703703703,-0.017539898148148148,0
Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555554,-0.00860199074074074,-0.006518333333333334,0
Z3,none,30,0.1,0.01337037535162403,0.02823567968297887,-0.014865304331354844,-0.027876067651510242,0.0032947484673043438,0
Z3,shuffle_probe,30,0.03333333333333333,-0.0030639546772948025,0.03106452637866691,-0.03412848105596171,-0.04169249078408437,-0.028750403949883253,1
Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111113,-0.021620902777777774,-0.016775611111111113,0
Z3,wrong_mode_probe,30,0.03333333333333333,-0.007242465997034427,0.0237097492147375,-0.030952215211771928,-0.04762743303441792,-0.021155783437203476,1
