run_id,split,task_mode_true,model_id,steps_completed,baseline_loss,terminal_loss,best_so_far_loss,terminal_relative_improvement,best_so_far_relative_improvement,elapsed_wall_seconds
oracle_family_codex_real_holdout_range_local_scans_seed7401_gpt_5_3_codex_batch_strict,holdout,range_local_scans,gpt-5.3-codex,1,1.0342590617502898,0.0733426706754639,0.0733426706754639,0.9290867507108469,0.9290867507108469,174.09862780570984
oracle_family_codex_real_holdout_range_local_scans_seed7402_gpt_5_3_codex_batch_strict,holdout,range_local_scans,gpt-5.3-codex,1,1.0043716145490074,0.07370378084368766,0.07370378084368766,0.9266170212538485,0.9266170212538485,165.40038967132568
oracle_family_real_holdout_range_local_scans_seed7401_gpt_5_3_codex_spark_batch_strict,holdout,range_local_scans,gpt-5.3-codex-spark,1,1.0093434231922283,0.07500746969615382,0.07500746969615382,0.9256868693324128,0.9256868693324128,41.46867036819458
oracle_family_spark_ext_holdout_range_local_scans_seed7402_gpt_5_3_codex_spark_batch_strict,holdout,range_local_scans,gpt-5.3-codex-spark,1,1.0300551438741534,0.1765073439990883,0.1765073439990883,0.8286428206792655,0.8286428206792655,45.10018992424011
oracle_family_spark_ext_holdout_range_local_scans_seed7403_gpt_5_3_codex_spark_batch_strict,holdout,range_local_scans,gpt-5.3-codex-spark,1,1.0032573868802126,0.07148256578453077,0.07148256578453077,0.9287495245793135,0.9287495245793135,41.04081416130066
oracle_family_codex_real_holdout_topk_stress_seed7401_gpt_5_3_codex_batch_strict,holdout,topk_stress,gpt-5.3-codex,1,1.0093035716427785,0.1650338030763302,0.1650338030763302,0.8364874476687769,0.8364874476687769,199.7089159488678
oracle_family_codex_real_holdout_topk_stress_seed7402_gpt_5_3_codex_batch_strict,holdout,topk_stress,gpt-5.3-codex,1,1.0089702448098723,0.5717431304272211,0.5717431304272211,0.43333994895463057,0.43333994895463057,194.1905002593994
oracle_family_real_holdout_topk_stress_seed7401_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,1,1.029253898684229,0.9922397834770735,0.9922397834770735,0.0359620840440569,0.0359620840440569,63.26618695259094
oracle_family_spark_ext_holdout_topk_stress_seed7402_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,1,1.0008905651803024,0.9853452261811396,0.9853452261811396,0.015531507179670941,0.015531507179670941,41.12932300567627
oracle_family_spark_ext_holdout_topk_stress_seed7403_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,1,1.0022233482899479,0.9885865828108221,0.9885865828108221,0.013606513460690755,0.013606513460690755,43.22300696372986
oracle_family_codex_real_pilot_range_local_scans_seed7301_gpt_5_3_codex_batch_strict,pilot,range_local_scans,gpt-5.3-codex,1,1.032476752704054,0.07403950625957954,0.07403950625957954,0.9282894204971973,0.9282894204971973,152.73456120491028
oracle_family_codex_real_pilot_range_local_scans_seed7302_gpt_5_3_codex_batch_strict,pilot,range_local_scans,gpt-5.3-codex,1,1.0033120977130787,0.07084296012532008,0.07084296012532008,0.9293909040997337,0.9293909040997337,195.43652200698853
oracle_family_real_pilot_range_local_scans_seed7301_gpt_5_3_codex_spark_batch_strict,pilot,range_local_scans,gpt-5.3-codex-spark,1,0.9926286151137603,0.1477941707524753,0.1477941707524753,0.8511082911552601,0.8511082911552601,39.30055022239685
oracle_family_spark_ext_pilot_range_local_scans_seed7302_gpt_5_3_codex_spark_batch_strict,pilot,range_local_scans,gpt-5.3-codex-spark,1,1.0337209760056594,0.9789626714551599,0.9789626714551599,0.052972035802241156,0.052972035802241156,36.99100875854492
oracle_family_spark_ext_pilot_range_local_scans_seed7303_gpt_5_3_codex_spark_batch_strict,pilot,range_local_scans,gpt-5.3-codex-spark,1,0.9931254792073134,0.09354598931663238,0.09354598931663238,0.9058064753395529,0.9058064753395529,38.02519607543945
oracle_family_codex_real_pilot_topk_stress_seed7301_gpt_5_3_codex_batch_strict,pilot,topk_stress,gpt-5.3-codex,1,1.0252640333174323,0.2362398973914418,0.2362398973914418,0.7695814056530943,0.7695814056530943,171.278311252594
oracle_family_codex_real_pilot_topk_stress_seed7302_gpt_5_3_codex_batch_strict,pilot,topk_stress,gpt-5.3-codex,1,1.0009484631133343,0.3217105003866917,0.3217105003866917,0.6785943410252627,0.6785943410252627,181.99453592300415
oracle_family_real_pilot_topk_stress_seed7301_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,1,0.9936153227739459,1.0625015623506329,1.0625015623506329,-0.06932888211141146,-0.06932888211141146,38.67479395866394
oracle_family_spark_ext_pilot_topk_stress_seed7302_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,1,0.9986422716875671,0.5794482177170588,0.5794482177170588,0.41976397940989263,0.41976397940989263,43.11314821243286
oracle_family_spark_ext_pilot_topk_stress_seed7303_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,1,0.9881228926331739,1.0009071619709893,1.0009071619709893,-0.012937934575878078,-0.012937934575878078,44.73950695991516
