mode,mode_label,agent_system,agent_system_label,n,successes,gamma,delta_cert,kappa_wall_seconds_per_step_median,kappa_tokens_per_step_median,kappa_wall_seconds_per_step_mode_median,kappa_tokens_per_step_mode_median,t0_step_quantile,factored_wall_resource,factored_token_resource_millions,factored_mode_wall_resource,factored_mode_token_resource_millions,end_to_end_wall_resource,end_to_end_token_resource_millions
mlp_flat,MLP,gpt_5_3_codex,GPT-5.3 Codex,10,9,0.05,0.1,56.06500110030174,463704.625,34.9898321568966,472093.25,16.0,0.4983555653360155,7.419274,0.3110207302835253,7.553491999999999,0.2877978433966637,5.2884199999999995
mlp_flat,MLP,gpt_5_4,GPT-5.4,10,10,0.05,0.1,108.39334188699723,518980.0,88.17830985188485,481109.325,4.0,0.24087409308221608,2.07592,0.19595179967085521,1.9244373,0.19442785761753717,0.301734
mlp_flat,MLP,gpt_5_4_mini,GPT-5.4 Mini,10,9,0.05,0.1,108.40455565452575,807790.25,55.20630958080292,765908.35,13.0,0.7829217908382415,10.501273249999999,0.39871223586135446,9.956808549999998,0.33002095003260506,5.42138
cnn_compact,CNN,gpt_5_3_codex,GPT-5.3 Codex,10,10,0.05,0.1,56.06500110030174,463704.625,51.20545432567596,454830.725,13.0,0.4049138968355126,6.028160124999999,0.3698171701298819,5.912799424999999,0.2728521676063537,3.360039
cnn_compact,CNN,gpt_5_4,GPT-5.4,10,10,0.05,0.1,108.39334188699723,518980.0,98.47963383197785,530689.45,6.0,0.3613111396233241,3.11388,0.3282654461065928,3.1841366999999994,0.6038282974561054,0.8898499999999999
cnn_compact,CNN,gpt_5_4_mini,GPT-5.4 Mini,10,9,0.05,0.1,108.40455565452575,807790.25,99.99106022715569,691186.05,6.0,0.3613485188484192,4.846741499999999,0.33330353409051894,4.1471163,0.22888221645355228,0.8761399999999999
resnet_micro,ResNet,gpt_5_3_codex,GPT-5.3 Codex,10,10,0.05,0.1,56.06500110030174,463704.625,69.35831071734428,472341.35,7.0,0.21803055983450678,3.2459323749999998,0.2697267639007833,3.3063894499999997,0.18849842052989535,0.9041819999999999
resnet_micro,ResNet,gpt_5_4,GPT-5.4,10,10,0.05,0.1,108.39334188699723,518980.0,133.64510798454285,551716.0249999999,2.0,0.12043704654110804,1.03796,0.14849456442726983,1.1034320499999997,0.2441876403093338,0.15023699999999998
resnet_micro,ResNet,gpt_5_4_mini,GPT-5.4 Mini,10,10,0.05,0.1,108.40455565452575,807790.25,147.87259633541106,874901.325,2.0,0.12044950628280639,1.6155804999999999,0.1643028848171234,1.74980265,0.1824425787395901,0.351605
