split,task_mode_true,model_id,attempt_count,success_prob,improvement_prob,mean_relative_improvement,median_relative_improvement,mean_best_loss,median_best_loss,mean_baseline_loss,mean_counterfactual_gap,median_cost,mean_steps_completed
holdout,range_local_scans,gpt-5.3-codex,5,0.8,0.8,0.6711926629990134,0.9266170212538485,0.23225044404167133,0.07370378084368766,0.9356404397315824,0.1530460005322711,174.09862780570984,1.0
holdout,range_local_scans,gpt-5.3-codex-spark,10,1.0,1.0,0.9011229027775954,0.9026175767459038,0.09554414725350277,0.0977562737737644,0.9544804924858198,0.009643437495357988,43.86207056045532,1.0
holdout,topk_stress,gpt-5.3-codex,2,1.0,1.0,0.6349136983117037,0.6349136983117037,0.36838846675177567,0.36838846675177567,1.0091369082263255,0.127234927942942,196.9497081041336,1.0
holdout,topk_stress,gpt-5.3-codex-spark,9,0.0,1.0,0.01088036649028936,0.006326657972042592,0.9932372931253283,0.9920956158889328,1.004240273111335,0.6797474484819666,44.243011713027954,1.0
pilot,range_local_scans,gpt-5.3-codex,5,1.0,1.0,0.9186998804516511,0.9281865015708836,0.07597626487281947,0.07221805773818138,0.9365309124240018,0.0,181.23420906066895,1.0
pilot,range_local_scans,gpt-5.3-codex-spark,10,0.8,0.8,0.4375081405936072,0.8561455043250548,0.4630355242703127,0.14019014892403592,0.9629410920505886,0.27686024943112575,47.64804553985596,1.0
pilot,topk_stress,gpt-5.3-codex,2,1.0,1.0,0.7240878733391785,0.7240878733391785,0.27897519888906674,0.27897519888906674,1.0131062482153834,0.0,176.63642358779907,1.0
pilot,topk_stress,gpt-5.3-codex-spark,8,0.125,0.75,0.04695120253223507,0.005125612884002696,0.9517892620866505,0.9978789371406459,0.9987544040910138,0.6574315551318124,48.03006148338318,1.0
