split,task_mode_true,model_id,trials,successes,success_prob,wilson_low,wilson_high,wilson_half_width,smoothed_success_prob,target_half_width,required_trials_for_target_half_width,additional_trials_needed
holdout,range_local_scans,gpt-5.3-codex,2,2,1.0,0.34238022750665303,1.0,0.3288098862466735,0.75,0.15,29,27
holdout,range_local_scans,gpt-5.3-codex-spark,3,3,1.0,0.43850296824495455,1.0,0.2807485158775227,0.8,0.15,26,23
holdout,topk_stress,gpt-5.3-codex,2,2,1.0,0.34238022750665303,1.0,0.3288098862466735,0.75,0.15,29,27
holdout,topk_stress,gpt-5.3-codex-spark,3,0,0.0,0.0,0.5614970317550455,0.28074851587752275,0.2,0.15,26,23
pilot,range_local_scans,gpt-5.3-codex,2,2,1.0,0.34238022750665303,1.0,0.3288098862466735,0.75,0.15,29,27
pilot,range_local_scans,gpt-5.3-codex-spark,3,3,1.0,0.43850296824495455,1.0,0.2807485158775227,0.8,0.15,26,23
pilot,topk_stress,gpt-5.3-codex,2,2,1.0,0.34238022750665303,1.0,0.3288098862466735,0.75,0.15,29,27
pilot,topk_stress,gpt-5.3-codex-spark,3,1,0.3333333333333333,0.06149194472039615,0.7923403991979523,0.3654242272387781,0.4,0.15,36,33
