threshold,holdout_routing_trivial,pilot_routing_trivial,holdout_best_range_local_scans,holdout_best_topk_stress,pilot_router_holdout_objective,oracle_router_holdout_objective,single_best_model_holdout_objective,pilot_information_gain_nats,pilot_router_mismatch_nats,cost_ratio,aggregate_d_cross
0.0,True,True,gpt-5.3-codex-spark,gpt-5.3-codex-spark,3.8495871571484983,3.8055751347151054,3.787222217159873,1.1719287545185566e-06,0.014377199285865866,4.200347670378192,1.0
0.05,False,False,gpt-5.3-codex-spark,gpt-5.3-codex,4.941485225709933,4.457625854948494,9.92744913181066,0.4623360795625201,0.04779589994721651,4.200347670378192,4096.0
0.1,False,False,gpt-5.3-codex-spark,gpt-5.3-codex,4.957048325691953,4.457625854948494,9.92744913181066,0.4359674981994003,0.0558506965919381,4.200347670378192,4096.0
