split,model_id,expected_cost_adjusted_nll,expected_best_loss,median_cost
pilot,gpt-5.3-codex-spark,5.19746437248473,inf,47.83905351161957
pilot,gpt-5.3-codex,5.2061588744251,0.1823628505508918,182.4858945608139
