split,task_mode_true,model_id,attempt_count,success_prob,improvement_prob,mean_relative_improvement,median_relative_improvement,mean_best_loss,median_best_loss,mean_baseline_loss,mean_counterfactual_gap,median_cost,mean_steps_completed
holdout,range_local_scans,gpt-5.3-codex,6,0.8333333333333334,0.8333333333333334,0.7135246683528679,0.9259008581879944,0.20603298164915693,0.07432472526513625,0.9466574478604347,0.12753833377689258,170.00529289245605,1.0
holdout,range_local_scans,gpt-5.3-codex-spark,10,1.0,1.0,0.9011229027775954,0.9026175767459038,0.09554414725350277,0.0977562737737644,0.9544804924858198,0.009643437495357988,43.86207056045532,1.0
holdout,topk_stress,gpt-5.3-codex,2,1.0,1.0,0.6349136983117037,0.6349136983117037,0.36838846675177567,0.36838846675177567,1.0091369082263255,0.127234927942942,196.9497081041336,1.0
holdout,topk_stress,gpt-5.3-codex-spark,10,0.0,1.0,0.010713300459419588,0.007532969794331285,0.9929992888803689,0.9919113488317677,1.0038230037244307,0.6833793059921182,44.47545886039734,1.0
pilot,range_local_scans,gpt-5.3-codex,6,1.0,1.0,0.9097387957532872,0.9227379594436254,0.08575050221271684,0.07312878199888045,0.9465600574643491,0.0,188.33536553382874,1.0
pilot,range_local_scans,gpt-5.3-codex-spark,10,0.7,0.8,0.4375081405936072,0.8561455043250548,0.4630355242703127,0.14019014892403592,0.9629410920505886,0.27686024943112575,47.64804553985596,1.0
pilot,topk_stress,gpt-5.3-codex,2,1.0,1.0,0.7240878733391785,0.7240878733391785,0.27897519888906674,0.27897519888906674,1.0131062482153834,0.0,176.63642358779907,1.0
pilot,topk_stress,gpt-5.3-codex-spark,10,0.1,0.7,-inf,0.005125612884002696,inf,0.9978789371406459,0.9994620820377251,0.6626412912105949,48.03006148338318,1.0
