threshold,deployment_winners_by_mode,log_effort_winners_by_mode,deployment_loss_C,deployment_loss_4,deployment_loss_m,c_gamma_C,c_gamma_4,c_gamma_m,success_C,success_4,success_m,changes_vs_primary
0.02,4/4/C,4/C/C,0.13810509975631402,0.10821641253535708,0.1530033574067516,0.12858129023250445,0.10821641253535708,0.1418922462956405,0.9904761904761905,1.0,0.9888888888888889,changes
0.05,4/m/C,4/m/C,0.2209605470421454,0.1602545491771092,0.19712148399441334,0.18286530894690733,0.1602545491771092,0.16378815066108002,0.9619047619047619,1.0,0.9666666666666667,same
0.1,4/4/C,4/m/C,0.3559311820688073,0.23914695455321563,0.3249020428466207,0.2511692773069023,0.23914695455321563,0.24712426506884294,0.8952380952380953,1.0,0.9222222222222223,changes
0.2,4/4/m,4/4/m,0.9529229074918403,0.5935468324282814,0.6430499950325783,0.5148276693966023,0.5459277848092337,0.4652722172548005,0.5619047619047619,0.9523809523809523,0.8222222222222222,changes
