split,model_id,expected_cost_adjusted_nll,expected_best_loss,median_cost
pilot,gpt-5.3-codex-spark,4.94285157449182,0.6822516811213584,46.52284026145935
pilot,gpt-5.3-codex,5.18836943350194,0.16619801332448492,178.935316324234
