split,task_mode_true,model_id,step,mean_parent_loss,mean_selected_loss,mean_routing_regret,mean_routing_jsd,top1_productive_rate,selected_productive_rate,count
holdout,topk_stress,gpt-5.3-codex-spark,1,1.0130218741739483,1.0027167182421526,0.7065501722090106,0.410174128641558,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,1.0027167182421526,0.9926764682442522,0.4201262989595115,0.4559110300102704,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,0.9926764682442522,0.9966219804377845,0.13095161071306582,0.42328864798379057,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,1.0075092052050305,0.9938065334290044,0.6353391657823481,0.5270076816818554,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,0.9938065334290044,0.9962781002113635,0.5187794985016358,0.4702616633979584,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,0.9962781002113635,0.992653025069917,0.5179495746723012,0.4731043246465137,0.0,0.0,1
