split,task_mode_true,model_id,step,mean_parent_loss,mean_selected_loss,mean_routing_regret,mean_routing_jsd,top1_productive_rate,selected_productive_rate,count
holdout,negative_lookup_churn,gpt-5.3-codex,1,1.002356451443165,inf,1.9483707421907601,0.37266007955382047,0.0,0.0,1
holdout,negative_lookup_churn,gpt-5.3-codex,2,inf,0.07314673963019847,0.0,0.032405907390682026,0.0,0.0,1
holdout,negative_lookup_churn,gpt-5.3-codex-spark,1,1.0045107117468697,0.11396864831348277,0.05470005188723848,0.3203174193801274,0.5,0.5,2
holdout,negative_lookup_churn,gpt-5.3-codex-spark,2,0.11396864831348277,0.05950574974906711,0.008498959743727105,0.6321404321887634,0.5,0.5,2
holdout,negative_lookup_churn,gpt-5.3-codex-spark,3,0.05950574974906711,0.627391456375073,0.5686645610291762,0.474812802375779,0.0,0.0,2
holdout,negative_lookup_churn,gpt-5.3-codex-spark,4,0.627391456375073,0.05859588722247276,0.008934257899833487,0.4260492179787595,0.5,0.5,2
holdout,negative_lookup_churn,gpt-5.3-codex-spark,5,0.05859588722247276,0.0588333532613495,0.0032551461490079696,0.6957659931092468,0.0,0.0,2
holdout,negative_lookup_churn,gpt-5.3-codex-spark,6,0.0588333532613495,0.05670215111031669,0.006632284468662673,0.5074027221395537,0.0,0.0,2
holdout,negative_lookup_churn,gpt-5.3-codex-spark,7,0.05670215111031669,0.05695770652959638,0.008587621504406673,0.7042075581353562,0.0,0.0,2
holdout,negative_lookup_churn,gpt-5.3-codex-spark,8,0.05969557808376634,0.05998585862977007,0.014257218890473086,0.585623697296596,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex,1,0.9956177248049398,0.9927407272031588,0.5222789393419738,0.37167995334883597,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex,2,0.9927407272031588,0.6559085504607154,0.2556371737981131,0.4105746210139143,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex,3,0.6559085504607154,0.21191452220014362,0.0,0.29099900223047576,1.0,1.0,1
holdout,topk_stress,gpt-5.3-codex,4,0.21191452220014362,0.21458185278460562,0.08692523652112163,0.6110178255829338,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex,5,0.21458185278460562,0.7237294830110854,0.595898542511005,0.6782036125669381,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex,6,0.7237294830110854,2.423980359424718,1.6944920404937238,0.04732902438347112,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,1.0004970090796788,0.9834437726075729,0.6804014631786006,0.4215418789225021,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,2,0.9834437726075729,inf,1.0104098972588,0.45988965211752253,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,3,inf,0.9856068748687669,0.22336017036378358,0.2574082368520871,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,4,0.9856068748687669,0.7734672796620705,0.24715787071545764,0.44036868474237867,0.0,0.0,2
