run_id,fixed_steps,id,baseline_id,category,is_baseline,val_bpb,total_seconds,status
extended_fixed1170,1170,shallow_lr_low__normalization_capacity__depth3_width32,shallow_lr_low,normalization_capacity,False,0.823338,126.7,success
extended_fixed1170,1170,shallow_lr_low__normalization_capacity__depth4_width24,shallow_lr_low,normalization_capacity,False,0.843524,123.6,success
extended_fixed1170,1170,shallow_lr_low__regularization__weight_decay_zero,shallow_lr_low,regularization,False,0.986524,94.8,success
extended_fixed1170,1170,small_fc_lr_low__baseline,small_fc_lr_low,baseline,True,0.889742,127.3,success
extended_fixed1170,1170,small_fc_lr_low__optimizer_lr__lr_1p5e3,small_fc_lr_low,optimizer_lr,False,0.867514,125.8,success
extended_fixed1170,1170,small_fc_lr_low__optimizer_lr__adamw_lr_1e3,small_fc_lr_low,optimizer_lr,False,0.856229,126.4,success
extended_fixed1170,1170,small_fc_lr_low__data_batch__batch256,small_fc_lr_low,data_batch,False,0.765545,223.4,success
extended_fixed1170,1170,small_fc_lr_low__optimizer_scheduler__lr_1e3_schedule_on,small_fc_lr_low,optimizer_scheduler,False,0.878647,126.2,success
extended_fixed1170,1170,small_fc_lr_low__normalization_capacity__depth4_width24,small_fc_lr_low,normalization_capacity,False,0.803788,123.6,success
extended_fixed1170,1170,small_fc_lr_low__normalization_capacity__fc128,small_fc_lr_low,normalization_capacity,False,0.823338,126.6,success
extended_fixed1170,1170,small_fc_lr_low__regularization__weight_decay_zero,small_fc_lr_low,regularization,False,0.882871,125.9,success
extended_fixed1170,1170,sgd_baseline__baseline,sgd_baseline,baseline,True,0.884132,125.1,success
extended_fixed1170,1170,sgd_baseline__optimizer_lr__lr_1p5e3,sgd_baseline,optimizer_lr,False,1.024019,125.4,success
extended_fixed1170,1170,sgd_baseline__optimizer_lr__adamw_lr_1e3,sgd_baseline,optimizer_lr,False,0.801176,126.4,success
extended_fixed1170,1170,sgd_baseline__data_batch__batch256,sgd_baseline,data_batch,False,0.733491,221.0,success
extended_fixed1170,1170,sgd_baseline__optimizer_scheduler__lr_1e3_schedule_on,sgd_baseline,optimizer_scheduler,False,1.109054,125.5,success
extended_fixed1170,1170,sgd_baseline__normalization_capacity__depth4_width24,sgd_baseline,normalization_capacity,False,1.097702,122.1,success
extended_fixed1170,1170,sgd_baseline__regularization__weight_decay_zero,sgd_baseline,regularization,False,0.872697,125.6,success
extended_fixed1170,1170,weak_regularization_no_schedule__baseline,weak_regularization_no_schedule,baseline,True,0.810496,126.0,success
extended_fixed1170,1170,weak_regularization_no_schedule__optimizer_lr__lr_1p5e3,weak_regularization_no_schedule,optimizer_lr,False,0.819169,127.1,success
extended_fixed1170,1170,weak_regularization_no_schedule__optimizer_lr__adamw_lr_1e3,weak_regularization_no_schedule,optimizer_lr,False,0.828801,126.5,success
extended_fixed1170,1170,weak_regularization_no_schedule__regularization__low_wd_no_dropout,weak_regularization_no_schedule,regularization,False,0.823338,127.4,success
extended_fixed1170,1170,weak_regularization_no_schedule__data_batch__batch256,weak_regularization_no_schedule,data_batch,False,0.7707,223.3,success
extended_fixed1170,1170,weak_regularization_no_schedule__optimizer_scheduler__lr_1e3_schedule_on,weak_regularization_no_schedule,optimizer_scheduler,False,0.818122,125.9,success
extended_fixed1170,1170,weak_regularization_no_schedule__normalization_capacity__depth4_width24,weak_regularization_no_schedule,normalization_capacity,False,0.875583,125.1,success
extended_fixed1170,1170,mild_dropout_no_schedule__baseline,mild_dropout_no_schedule,baseline,True,1.065839,132.2,success
extended_fixed1170,1170,mild_dropout_no_schedule__optimizer_lr__lr_1p5e3,mild_dropout_no_schedule,optimizer_lr,False,1.105824,131.3,success
extended_fixed1170,1170,mild_dropout_no_schedule__optimizer_lr__adamw_lr_1e3,mild_dropout_no_schedule,optimizer_lr,False,1.03512,132.0,success
extended_fixed1170,1170,mild_dropout_no_schedule__regularization__low_wd_no_dropout,mild_dropout_no_schedule,regularization,False,0.823338,126.6,success
extended_fixed1170,1170,mild_dropout_no_schedule__data_batch__batch256,mild_dropout_no_schedule,data_batch,False,0.943734,239.5,success
extended_fixed1170,1170,mild_dropout_no_schedule__optimizer_scheduler__lr_1e3_schedule_on,mild_dropout_no_schedule,optimizer_scheduler,False,1.050205,132.3,success
extended_fixed1170,1170,mild_dropout_no_schedule__normalization_capacity__depth4_width24,mild_dropout_no_schedule,normalization_capacity,False,1.115031,127.9,success
extended_fixed1170,1170,mild_dropout_no_schedule__regularization__weight_decay_zero,mild_dropout_no_schedule,regularization,False,1.066883,131.2,success
refinement_fixed585,585,width28_lr_low__baseline,width28_lr_low,baseline,True,1.073051,60.6,success
refinement_fixed585,585,width28_lr_low__optimizer_lr__lr_1e3,width28_lr_low,optimizer_lr,False,1.003,60.4,success
refinement_fixed585,585,width28_lr_low__optimizer_lr__lr_1p5e3,width28_lr_low,optimizer_lr,False,1.014167,60.3,success
refinement_fixed585,585,width28_lr_low__optimizer_lr__adamw_1e3,width28_lr_low,optimizer_lr,False,0.997878,60.1,success
refinement_fixed585,585,width28_lr_low__scheduler__schedule_on,width28_lr_low,scheduler,False,1.071032,60.4,success
refinement_fixed585,585,width28_lr_low__normalization_capacity__width32,width28_lr_low,normalization_capacity,False,0.996972,66.4,success
refinement_fixed585,585,width28_lr_low__data_batch__batch192,width28_lr_low,data_batch,False,0.955944,82.5,success
refinement_fixed585,585,width28_lr_low__data_batch__batch256,width28_lr_low,data_batch,False,0.896199,106.8,success
refinement_fixed585,585,width30_lr_low__baseline,width30_lr_low,baseline,True,1.031767,64.5,success
refinement_fixed585,585,width30_lr_low__optimizer_lr__lr_1e3,width30_lr_low,optimizer_lr,False,0.981697,64.6,success
refinement_fixed585,585,width30_lr_low__optimizer_lr__lr_1p5e3,width30_lr_low,optimizer_lr,False,0.997944,64.6,success
refinement_fixed585,585,width30_lr_low__optimizer_lr__adamw_1e3,width30_lr_low,optimizer_lr,False,0.998806,64.6,success
refinement_fixed585,585,width30_lr_low__scheduler__schedule_on,width30_lr_low,scheduler,False,1.016737,63.9,success
refinement_fixed585,585,width30_lr_low__normalization_capacity__width32,width30_lr_low,normalization_capacity,False,0.996972,64.0,success
refinement_fixed585,585,width30_lr_low__data_batch__batch192,width30_lr_low,data_batch,False,0.931586,87.5,success
refinement_fixed585,585,width30_lr_low__data_batch__batch256,width30_lr_low,data_batch,False,0.898305,111.7,success
refinement_fixed585,585,width24_lr_mid__baseline,width24_lr_mid,baseline,True,0.998037,53.1,success
refinement_fixed585,585,width24_lr_mid__optimizer_lr__lr_1e3,width24_lr_mid,optimizer_lr,False,0.989909,53.8,success
refinement_fixed585,585,width24_lr_mid__optimizer_lr__lr_1p5e3,width24_lr_mid,optimizer_lr,False,0.994433,55.4,success
refinement_fixed585,585,width24_lr_mid__optimizer_lr__adamw_1e3,width24_lr_mid,optimizer_lr,False,0.973329,84.6,success
refinement_fixed585,585,width24_lr_mid__scheduler__schedule_on,width24_lr_mid,scheduler,False,0.998651,84.1,success
refinement_fixed585,585,width24_lr_mid__normalization_capacity__width32,width24_lr_mid,normalization_capacity,False,0.942437,106.8,success
refinement_fixed585,585,width24_lr_mid__data_batch__batch192,width24_lr_mid,data_batch,False,0.932085,119.2,success
refinement_fixed585,585,width24_lr_mid__data_batch__batch256,width24_lr_mid,data_batch,False,0.86079,154.5,success
refinement_fixed585,585,fc96_lr_low__baseline,fc96_lr_low,baseline,True,1.039141,106.3,success
refinement_fixed585,585,fc96_lr_low__optimizer_lr__lr_1e3,fc96_lr_low,optimizer_lr,False,0.967378,12042.4,success
refinement_fixed585,585,fc96_lr_low__optimizer_lr__lr_1p5e3,fc96_lr_low,optimizer_lr,False,0.937207,114.3,success
refinement_fixed585,585,fc96_lr_low__optimizer_lr__adamw_1e3,fc96_lr_low,optimizer_lr,False,0.939648,94.6,success
refinement_fixed585,585,fc96_lr_low__scheduler__schedule_on,fc96_lr_low,scheduler,False,1.059229,55.2,success
refinement_fixed585,585,fc96_lr_low__normalization_capacity__fc128,fc96_lr_low,normalization_capacity,False,0.996972,56.0,success
refinement_fixed585,585,fc96_lr_low__data_batch__batch192,fc96_lr_low,data_batch,False,0.913567,78.9,success
refinement_fixed585,585,fc96_lr_low__data_batch__batch256,fc96_lr_low,data_batch,False,0.902988,116.8,success
refinement_fixed585,585,dropout005_lr_low__baseline,dropout005_lr_low,baseline,True,1.037707,57.9,success
refinement_fixed585,585,dropout005_lr_low__optimizer_lr__lr_1e3,dropout005_lr_low,optimizer_lr,False,0.986881,57.6,success
