split,task_mode_true,model_id,step,mean_parent_loss,mean_selected_loss,mean_routing_regret,mean_routing_jsd,top1_productive_rate,selected_productive_rate,count
holdout,range_local_scans,gpt-5.3-codex,1,1.0193153381496485,0.07352322575957579,0.0,0.3548182262762381,1.0,1.0,2
holdout,range_local_scans,gpt-5.3-codex-spark,1,1.0142186513155316,0.1076657931599243,0.02304745568018322,0.3325834603219339,0.6666666666666666,0.6666666666666666,3
holdout,topk_stress,gpt-5.3-codex,1,1.0091369082263255,0.36838846675177567,0.127234927942942,0.17073973277561572,0.5,0.5,2
holdout,topk_stress,gpt-5.3-codex-spark,1,1.0107892707181598,0.9887238641563451,0.6322589775702573,0.45260994434243046,0.0,0.0,3
pilot,range_local_scans,gpt-5.3-codex,1,1.0178944252085662,0.07244123319244981,0.0,0.30768419125283875,1.0,1.0,2
pilot,range_local_scans,gpt-5.3-codex-spark,1,1.006491690108911,0.40676761050808913,0.3179732939070571,0.2611548162368776,0.3333333333333333,0.3333333333333333,3
pilot,topk_stress,gpt-5.3-codex,1,1.0131062482153834,0.27897519888906674,0.0,0.2103914322417692,1.0,1.0,2
pilot,topk_stress,gpt-5.3-codex-spark,1,0.9934601623648956,0.8809523140128936,0.5729268499684843,0.39777686731382156,0.0,0.0,3
