mode,worker,run_count,success_count,success_rate,mean_tau,mean_c_gamma,mean_failure_penalty,mean_deployment_loss,log_effort_objective,mean_final_relative_improvement,mean_elapsed_wall_minutes,mean_total_tokens_millions
mlp_flat,gpt_5_3_codex,20,18,0.9,7.444444444444445,0.28688756320940123,0.1,0.3868875632094012,-1.4306564042414618,0.20154388041082583,21.910895792444546,9.1261327
mlp_flat,gpt_5_4,20,20,1.0,2.4,0.11474814099835025,0.0,0.11474814099835022,-2.5612003802761207,0.26234131540596417,26.04401968081792,10.16416645
mlp_flat,gpt_5_4_mini,20,19,0.95,4.631578947368421,0.2044172670662403,0.05,0.2544172670662403,-1.430445151043555,0.23068207857091125,43.672141404151915,20.9420347
cnn_compact,gpt_5_3_codex,20,19,0.95,6.105263157894737,0.1921943997826841,0.05,0.2421943997826841,-1.915801891592665,0.21810260879980065,17.687771597901982,9.39239655
cnn_compact,gpt_5_4,20,20,1.0,2.95,0.1501434453116523,0.0,0.1501434453116523,-2.2227588304751604,0.354432483532339,36.817136096159615,10.4598656
cnn_compact,gpt_5_4_mini,20,20,1.0,2.65,0.13138186423447398,0.0,0.13138186423447398,-2.332712158600841,0.36473003846265073,36.54811405618986,15.6351059
resnet_micro,gpt_5_3_codex,20,20,1.0,2.3,0.07981923981209596,0.0,0.07981923981209597,-2.519339536903661,0.18714329427763268,22.445710224111874,9.587813200000001
resnet_micro,gpt_5_4,20,20,1.0,1.75,0.19184516099260912,0.0,0.19184516099260918,-2.096023181868189,0.2984285950294161,66.01968312700589,11.2784956
resnet_micro,gpt_5_4_mini,20,20,1.0,1.3,0.1563016588870022,0.0,0.15630165888700223,-2.0404733747047192,0.32702890216302455,76.16357714533805,18.56462505
