signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,net_gain_lo,net_gain_hi,loss_increasing_shift_count
Z1,none,30,0.06666666666666667,0.006002948924667306,0.0,0.006002948924667306,-0.009205095447103179,0.0272139422211051,1
Z1,shuffle_probe,30,0.03333333333333333,-0.0037341973726837735,0.0,-0.0037341973726837735,-0.011202592118051321,0.0,1
Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,0.0,0.0,0
Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,0.0,0.0,0
Z2,none,30,0.03333333333333333,0.0090713140737017,0.007262962962962962,0.0018083511107387365,-0.008090787037037037,0.02076667370258657,0
Z2,shuffle_probe,30,0.03333333333333333,-0.0037341973726837735,0.008290740740740741,-0.012024938113424512,-0.019910647673606875,-0.007596157407407407,1
Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,-0.022195203703703703,-0.017539898148148148,0
Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555554,-0.00860199074074074,-0.006518333333333334,0
Z3,none,30,0.1,0.016539708819069247,0.028235679682978874,-0.011695970863909631,-0.027800829333861667,0.010911133169899107,0
Z3,shuffle_probe,30,0.03333333333333333,-0.0037341973726837735,0.031064526378666912,-0.03479872375135069,-0.04370542486499857,-0.028750403949883253,1
Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,-0.021620902777777774,-0.016775611111111113,0
Z3,wrong_mode_probe,30,0.03333333333333333,-0.0090713140737017,0.023709749214737504,-0.0327810632884392,-0.05311397726441973,-0.021155783437203476,1
