threshold,deployment_winners_by_mode,log_effort_winners_by_mode,deployment_loss_C,deployment_loss_4,deployment_loss_m,c_gamma_C,c_gamma_4,c_gamma_m,success_C,success_4,success_m,changes_vs_primary
0.02,4/4/C,4/4/C,0.13465008239845436,0.10788873379053894,0.16619723393166508,0.13465008239845436,0.10788873379053894,0.14953056726499842,1.0,1.0,0.9833333333333333,changes
0.05,4/m/C,4/m/C,0.2363004009347271,0.15224558243420389,0.18070026339590547,0.18630040093472708,0.15224558243420389,0.1640335967292388,0.95,1.0,0.9833333333333333,same
0.1,4/m/C,4/m/C,0.35767484196258914,0.22647507954339188,0.2638955181867988,0.25767484196258916,0.22647507954339188,0.23056218485346547,0.9,1.0,0.9666666666666667,same
0.2,4/4/m,4/4/m,0.990311378347653,0.5898445119248497,0.6395038281047786,0.5236447116809863,0.5398445119248496,0.48950382810477855,0.5333333333333333,0.95,0.85,changes
