threshold,holdout_routing_trivial,pilot_routing_trivial,holdout_best_range_local_scans,holdout_best_topk_stress,pilot_router_holdout_objective,oracle_router_holdout_objective,single_best_model_holdout_objective,pilot_information_gain_nats,pilot_router_mismatch_nats,cost_ratio,aggregate_d_cross
0.0,True,True,gpt-5.3-codex-spark,gpt-5.3-codex-spark,3.8623951233985903,3.8078400094224847,3.787993750520336,0.001953880761533684,0.019924635870609494,4.1540102310125,1.0
0.05,False,False,gpt-5.3-codex-spark,gpt-5.3-codex,4.894107418753356,4.541397069685047,10.69574902950247,0.510121340189456,0.03330675654604587,4.1540102310125,4096.0
0.1,False,False,gpt-5.3-codex-spark,gpt-5.3-codex,4.906274179786052,4.541397069685047,10.69574902950247,0.4858478120934032,0.03925279232461773,4.1540102310125,4096.0
