split,task_mode_true,model_id,step,mean_parent_loss,mean_selected_loss,mean_routing_regret,mean_routing_jsd,top1_productive_rate,selected_productive_rate,count
holdout,topk_stress,gpt-5.3-codex-spark,1,1.0124961023454777,inf,1.6061453323259882,0.7960584826466368,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,inf,inf,1.0,0.030339523604736525,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,inf,0.30390519676282546,0.0,0.05114046768465059,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,4,0.30390519676282546,0.3224205961801777,0.013460526810386675,0.0735635612191544,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,1.0129472755828852,0.30546650518613566,0.0,0.41934429022496267,0.0,1.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,0.30546650518613566,0.2989875875149119,0.0,0.5192052823714967,0.0,1.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,0.2989875875149119,0.2954452917510801,0.015226063850531546,0.49817986468736003,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,4,0.2954452917510801,0.2979028764210238,0.006300346387127287,0.7582766571931677,0.0,0.0,1
